TID (unique),KEYWORD(unique),TAG(Separate with comma),CATEGORY, PID(Separate with comma if more than one),QUESTION,ANSWER,Documentation link ,YouTube solution link,RSID
GACTS175,DISPLAY_A_DOSE_CHECK_LOG,"Dose,,AV,NV,Protocol,Check log",Dose Check,REVOLUTION ACTS,What are the procedure to display a Dose Check Log?,"1. On the Auto Voice, Protocol Management and Dose Check Management screen, click Dose Check
Management.
2. On the Dose Check Management screen, click Log List.
3. From the Dose Audit Tool, click Audit Tool.
4. On the Log List click on the desired log.
 If the log data approaches the maximum size, the system will post a message directing the user
to export the log data.",,,RS8
GACTS176,DISPLAY_THE_PROTOCOL_SUMMARY,"Dose,,AV,NV,Protocol,Summary",Dose Check,REVOLUTION ACTS,What are the procedure to display the Protocol Summary?,"1. ClickDoseCheck Managementfrom Protocol Management.
2. On the Dose Check Management screen, click Audit Tool.
3. In the Protocol Summary area, click All Protocols orInvalid Protocols.",https://drive.google.com/file/d/1-nardEeL4ma2sDrDgQbW-RwmiQ81_8bU/view?usp=sharing,,RS8
GACTS177,EXPORT_DOSE_CHECK_LOG_DATA,"Dose,,AV,NV,Protocol,Log data",Dose Check,REVOLUTION ACTS,What are the  procedure to export Dose Check log data?,"1. ClickDoseCheck Management from Protocol Management.
2. Insert CD –R media in the DVD RW drive or insert USB media in the USB port of the media tower.
3. On the Dose Check Management screen, click Audit Tool.
4. On the Dose Audit Tool, click Export.
5. On the Export Media screen, click media type CD/DVD or USB.
6. Onthe Export Contents, click 1 or moreof the following:DoseCheck Log, Protocol Summary or User
Protocols
 If Protocol Summary is selected click All Protocols or Invalid Protocols.
7. On the Export screen, click OK. ",,,RS8
GACTS178,COLOUR_CODING_FOR_KIDS_PROTOCOL_SELECTION,"Colour,Kids,Protocol",Pediatrices,REVOLUTION ACTS,,,https://drive.google.com/file/d/1qVYLzrPjoyOodpymh4fdTc88jPl2I5bF/view?usp=sharing,,PS9
GACTS179,SETUP_A_PEDIATRIC_PATIENT_EXAM,"Setup,Exam,pediatric,Small patient",Pediatrices,REVOLUTION ACTS,What are the procedures in time you start a new patient exam for a pediatric patient?,"1. On the scan monitor, click the Exam Rx icon.
 The PATIENT INFORMATION screen displays the newExam Number.
 The maximum Exam Number is 49, 999, which is reset by your Field Engineer.
2. From the PATIENT INFORMATION area, type data into the appropriate fields.
 Press Enterto advance to the next field. Alternatively, use the mouse to navigate to each field.
 Patient ID is a required field. If the patient does not have an identification number, type ? orthe
wordtrauma.
3. Click PEDIATRIC.
4. From the Pediatric Protocol Selection screen, click an anatomical area.
 With the patient's weight entered,the system automatically selects the appropriate pediatric
color code area forthe anatomical area selected.
 Use the arrows to scroll through the list.
 Click a protocol from the list to download the scan parameter values.
5. Fromthe Pediatric Protocol Category screen, selectthe weight/length category based on the size of
your patient or verify the correct Color category has been selected if you entered a weight.
 The protocols in the selected color code are then displayed accordingly.
 Thedefaultweight/colorselectordisplaysthepatientweightenteredonthePATIENTINFORMATION
screen,orthe last weight/color selection(if no patientinformation was entered).
 There is no reference protocolfor Pediatric areasNeck, Upper Extremity,Chest, Abdomen, Spine,
Pelvis, and Lower Extremity.
 If you enter a patient weight on the Patient Information screen and select a color/weight that is
not consistent with the entered information, an error message displays. You must acknowledge
that you have chosen a protocol that does NOT match the patient size.
6. Proceed with the Acquire a Scout scan procedure.",,,PS9
GACTS180,ADJUST_PEDIATRIC_PATIENT_SCAN_PARAMETERS,"Setup,Exam,pediatric,Small patient",Pediatrices,REVOLUTION ACTS,What are the parameters to be Adjusted in Pediatric patient Exam?," size, age, weight, height,also Recommended pediatric color coded protocols.",,,PS9
GACTS181,AUTOmA,"Setup,Exam,pediatric,Small patient",Pediatrices,REVOLUTION ACTS,What are the Procedures When Center the patient properly by using AutomA?," Double check and verify the table height is centered to the patient.
 Raise or lower the table as needed before taking the scouts.
 Afterthescoutsaretakenandprescriptionisdone,verifythemAtablecalculationsbeforeconfirming
the scan.
 Make sure minimum mA and maximum mA values are set appropriately.
 See Set the mA procedure in the Scan chapter.",,,PS9
GACTS182,SFOV_FILTERS,"Filter,Exam,pediatric,Small patient",Pediatrices,REVOLUTION ACTS,For small Patients what are the conditions to be maintained for SFOV Filters?," Matching the appropriate SFOV bowtie filter to the size of the patient ensures the dose is delivered
where it is needed, and filtered where it is not needed.
 Small SFOV supports DFOVs up to 25 cm in diameter.
 Ped Head SFOV supports DFOVs up to 25 cm in diameter and uses IBO processing to correct for
beam hardening effects. It is particularly useful for infants 18 months or less in age.",,,PS9
GACTS183,SCBSV_BUTTONS,"Buttons,Equipment",Equipment,REVOLUTION ACTS,,,https://drive.google.com/file/d/1FoV0WFIiVl9SPJwOblCCxwul6hnvYYGU/view?usp=sharing,,
GACTS184,OPERATE_THE_MOUSE_CONTROLS,"Mouse,Controls",Equipment,REVOLUTION ACTS,,,https://drive.google.com/file/d/1ID4y1Mj1hlky89LHAstVN6DUxoAFjLK7/view?usp=sharing,,
GACTS185,OPERATE_THE_GANTRY_CONTROLS,"Gantry,controls",Equipment,REVOLUTION ACTS,,,https://drive.google.com/file/d/1HyRABfbcAifC2smA6vLjicpNqJM_US4Z/view?usp=sharing,,
GACTS186,SYSTEM_LOGIN,"System,login",Power ,REVOLUTION ACTS,How to login to the system?,"1. From the logon screen, type your assigned logon name.
2. Typeyourpassword.
 Click Emergency Logon only if you do not have a valid account set up. The Emergency Logon
screen is launched, which does not require a ID or password.
3. Click Logon.",,,ES1
GACTS187,SYSTEM_LOGOUT,"System,logout",Power ,REVOLUTION ACTS,How to log off the system?,"1. From the monitor, click the Shutdown icon.
2. From the Attention Shutdown pop-up screen, click Logout User andOK.",,,ES1
GACTS188,ROUTINE_DAILY_START_UP,"System,Start up",Power,REVOLUTION ACTS,Daily start up?,"1. From the monitor, click Shutdown.
2. ClickRestart.
3. ClickOK.",,,ES1
GACTS189,STARTUP_FROM_POWER_OFF,"System,Start up",Power,REVOLUTION ACTS,How to start up from power off?," If powerwas turned off via the computer switch andtheMainDisconnectControlA1 PowerPanel
(Breaker),then
a. Turn on power to the Main Disconnect Control.
b. Turn on power to the computer.
c. Press Reset on the gantry controls.
 SeeTubewarm-upprocedureforpotentialAttentionmessages.ClickOKandfollowtheAttention
instructions.",,,
GACTS190,SHUTDOWN_AND_RESTART_THE_SYSTEM,"System,Shutdown,Restart",Power,REVOLUTION ACTS,What are the procedures to Shutdown and restart the system?,"1. Disconnect any USB devices from the USB drive before performing a reboot or shutdown.
 If a save/restore of scan data is in progress, wait for the process to complete, exit Recon
Management, and disconnect the USB device before you reboot or shutdown. If for some reason
the system should shutdown unexpectedly while a USB drive is connected to the system,
disconnectthe USB drive before restarting the system.
2. From the monitor, click Service
3. FromService,click Shutdown.
4. From the Attention Shutdown pop-up screen, click Shutdown or Restart and OK.
5. For systemshutdown,whenthe""SystemHalted"" message displaysonthe monitorthesystemcan be
powered off. Press the power switch on the front of the operator’s console to the off position.",,,ES1
GACTS191,PATIENT_SCHEDULE,"Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to view the Patient Schedule Screen?,Click the Patient Schedule icon to display the Schedule screen.,https://drive.google.com/file/d/18hjlplmjn7ubIjM-keWa7uX7CkAoHHUI/view?usp=sharing,,DS4
GACTS192,UPDATE_PARAMETERS_SCREEN,"Parameter,Patient",Patient Schedule,REVOLUTION ACTS,How to update your Patient Schedule list with information from HIS/RIS?,"Click the Patient Schedule icon and selectUpdate Parameters to display the Update Parameters
screen, where you can update your Patient Schedule list with information from HIS/RIS.
Get Patient List For
 This system populates the Patient Schedule for the current scanner you are on.
 All CT Systems poppulates the Patient Schedule for all of the CT systems on the HIS/RIS connection.
 All Systems populates the Patient Schedule for all the systems on the HIS/RIS connection.
DataRange
 Populates teh Patient Schedule from the defined date range. Use the month/day/year format.
Requested Proc ID, AccessionNumber, PatientName, PatientID
 Additional ways to populate the Patient Schedule.
ContinueUpdate
 Applies the criteria chosen and updates the Patient Schedule.
CancelUpdate
 Closes the Update Parameters screen without saving any new selections.",https://drive.google.com/file/d/1x4OWh7dQKT16fmjzXNw7eFPCoJYcKCVB/view?usp=sharing,,DS4
GACTS193,PATIENT_SCHEDULE_PREFERENCES_SCREEN,"Preferences,Patient",Patient Schedule,REVOLUTION ACTS,How to select preferences in patient Schedule Screen?,Click the Patient Schedule icon andselectPreferences.,https://drive.google.com/file/d/1p1JFiG6DbtMkL114eq-7EELlszwYveva/view?usp=sharing,,DS4
GACTS194,ADD_A_PATIENT_TO_THE_SCHEDULE_MANUALLY,"Manually,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to Add a patient to the schedule manually?,"1. Click the Patient Schedule icon.
2. From the Schedule screen, click Add Patient.
3. From the Schedule Patient screen, complete all relevantfields.
 Entering even weights may be rounded up to the next odd pound because weights are stored as
kilogram units then converted back to pounds.
 If adding a patient where Exam Split is going to be used, an exam description must be entered for
those entries to be used with Hard Exam Split.
 If desired, add the number of the specific protocol under Protocol Number.
 If desired,type in the date and time in appropriate fields to be able to sort the Patient Schedule by
scheduledtimes.
4. Click Accept to add the patient to the schedule.",,,DS4
GACTS195,EDIT_A_PATIENT_IN_THE_SCHEDULE,"Edit,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to Edit a patient in the schedule?,"1. Click the Patient Schedule icon.
2. From the Schedule screen, select a patient.
3. Click Edit Patient.
4. Change the patientinformation as needed.
5. ClickAccept.",,,DS4
GACTS196,DELETE_A_PATIENT_FROM_THE_SCHEDULE,"Delete,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to Delete a patient from the schedule?,"1. Click the Patient Schedule icon.
2. From the Schedule screen, select patients to be removed.
3. ClickDelete Selected.  Alternatively, choose one of the following options.
 Click Delete All to remove all the patients from the list.
 Click Delete All Completed to remove all the completed patients marked with ""C"" from the list.
4. Click OK to the confirmation prompt.",,,DS4
GACTS197,UPDATE_THE_PATIENT_SCHEDULE,"Update,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to Update the patient schedule?,"1. Click the Patient Schedule icon.
2. From the Schedule screen, click Update.
3. From the Update Parameters screen, select one of the following options from the Get Patient List to
populate the schedule from yourHIS/RIS.
 Select This system to pull the patient schedule forthe current scanner.
 Select All CT Systems to pull the patient schedule for all of the CT systems on the HIS/
RIS connection.
 Select All Systems to pull the patient schedule for all the systems on the HIS/RIS connection.
4. Enter values for the Date Range.
5. Enter a Requested Procedure ID, accession number, patient name orID to narrow the search. These
are optional fields.
6. Click Continue Update to continue or click Cancel Update to exit and make no changes.",,,DS4
GACTS198,VIEW_MORE_PATIENT_INFORMATION_ON_THE_SCHEDULE,"Information,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to View more patient information on the schedule?,"1. Click the Patient Schedule icon.
2. From the Schedule screen, select a patient.
3. Click View More Info. The screen is populated from your HIS/RIS.
4. Click Cancel to close the More Information screen.",,,DS4
GACTS199,SET_PATIENT_SCHEDULE_PREFERENCES,"Information,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to Set patient schedule preferences?,"1. Click the Patient Schedule icon.
2. From the Schedule screen, click Preferences.
3. From the Preferences screen, complete fields as needed.",,,DS4
GACTS200,SELECT_A_PATIENT_FROM_THE_SCHEDULE,"Information,Patient,Schedule",Patient Schedule,REVOLUTION ACTS,How to Select a patient from the schedule?,"1. Click the Exam Rx icon.
2. Click the Patient Schedule icon.
3. From the Patient schedule list, select the desired patient and click Select Patient.  The Patient Information screen fields are populated.
 Multiple records forthe same patient can be selected.
 Multiple records must be selected in order to use Exam Split.  If more than one record with the same Patient ID is found in the Patient schedule list a dialog
message displays. To avoid having multiple Patient Records with the same Patient ID, set the
Delete Completed Exams preference to zero. This will ensure that only new records are in the
Patient Schedule list.
4. If a protocol is not tied to the patient, select the protocol. The system displays the first series.",,,DS4
GACTS201,CHECK_A_PATIENTS_STATUS,"Information,Patient,Schedule,Status",Patient Schedule,REVOLUTION ACTS,How to Check a patient's status?,"1. Click the Patient Schedule icon.
2. View the Status column.
 N = New Record or Not Completed
 C = Completed
3. Click or arrows to page through the list.",,,DS4
GACTS202,,,,REVOLUTION ACTS,,,,,
GACTS203,,,,REVOLUTION ACTS,,,,,
GACTS204,,,,,,,,,
GACTS205,,,,,,,,,
GACTS206,,,,,,,,,
